date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:36	25959/25959	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Checkout.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Checkout.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:36	23195/23195	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Fontawesome_Icon.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Fontawesome_Icon.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:37	1149/1149	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624ab490-47d%22	https://demo.dashboardpack.com/sales-html/img/menu-icon/9.svg	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/img/menu-icon/9.svg	(from https://demo.dashboardpack.com/sales-html/)
13:31:37	39108/39108	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/themefy_icon.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/themefy_icon.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:37	23293/23293	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/wow_animation.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/wow_animation.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:38	22821/22821	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Scroll_Reveal.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Scroll_Reveal.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:39	22511/22511	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/tilt.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/tilt.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:39	1593/1593	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624ab490-639%22	https://demo.dashboardpack.com/sales-html/img/menu-icon/10.svg	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/img/menu-icon/10.svg	(from https://demo.dashboardpack.com/sales-html/)
13:31:40	38581/38581	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:54:28%20GMT	https://demo.dashboardpack.com/sales-html/accordion.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/accordion.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:40	39192/39192	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Scrollable.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Scrollable.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:40	19326/19326	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/notification.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/notification.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:41	21082/21082	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/carousel.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/carousel.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:42	20770/20770	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Pagination.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Pagination.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:42	1712/1712	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd36a7-6b0%22	https://demo.dashboardpack.com/sales-html/img/menu-icon/11.svg	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/img/menu-icon/11.svg	(from https://demo.dashboardpack.com/sales-html/)
13:31:43	20023/20023	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/data_table.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/data_table.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:43	959/959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624ab490-3bf%22	https://demo.dashboardpack.com/sales-html/img/menu-icon/12.svg	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/img/menu-icon/12.svg	(from https://demo.dashboardpack.com/sales-html/)
13:31:43	26715/26715	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/bootstrap_table.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/bootstrap_table.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:44	26037/26037	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/basic_card.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/basic_card.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:44	21031/21031	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/theme_card.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/theme_card.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:45	25569/25569	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/dargable_card.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/dargable_card.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:45	1535/1535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd36a9-5ff%22	https://demo.dashboardpack.com/sales-html/img/menu-icon/13.svg	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/img/menu-icon/13.svg	(from https://demo.dashboardpack.com/sales-html/)
13:31:46	17377/17377	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/chartjs.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/chartjs.html	(from https://demo.dashboardpack.com/sales-html/)
